"NSFTV.ID","PSA_19_2014","PSA_21_2014","PSA_22_2014","PSA_25_2014","PSA_26_2014","PSA_27_2014","PSA_28_2014","PSA_29_2014","PSA_30_2014","PSA_31_2014","PSA_32_2014","PSA_33_2014","PSA_34_2014","PSA_35_2014","PSA_36_2014","PSA_37_2014","PSA_38_2014","PSA_39_2014","PSA_40_2014","PSA_41_2014"
"NSFTV_182",24707.20394,31790.89503,36645.92979,48297.24595,53342.41862,60340.1276,71075.86151,82248.62234,95295.01161,105456.2803,121416.2734,136765.8692,155981.8544,177751.0934,202889.0308,230384.1203,259167.1618,287570.594,314007.7978,344939.9705
"NSFTV_183",37334.70394,52757.39503,61879.92979,86669.07928,99302.75195,111324.2943,130927.0282,151433.9557,172535.5116,215124.0303,224541.2734,257316.3692,287437.0211,314215.0934,351484.0308,391080.7869,423152.4951,457144.594,763015.1311,554666.4705
"NSFTV_184",45909.09378,59961.48465,69228.31778,92987.7552,106749.3148,126810.7293,145196.8013,165909.9541,189235.4618,231658.0505,234247.2646,264710.6331,295909.0239,329188.2979,361933.5805,409370.1468,455675.3804,494840.2618,526266.9795,570337.1999
"NSFTV_185",36680.53728,48709.56169,54731.42979,71189.91262,85275.58528,98738.96093,111594.0282,129472.789,146518.0116,194141.2803,189224.1067,212249.0359,234048.5211,267811.5934,299096.6975,333842.4536,376675.4951,418134.9273,466351.6311,501776.6372
"NSFTV_186",26302.20394,38601.39503,44256.59646,59379.57928,69707.08528,79450.46093,90154.19484,102975.4557,116348.1783,151044.2803,145438.2734,166976.8692,184074.3544,209021.2601,228081.3642,254461.2869,282602.6618,302719.4273,343034.6311,332585.7244
"NSFTV_187",27547.20394,33237.39503,38019.42979,46344.24595,52338.75195,55930.1276,65891.19484,74835.05929,84101.01161,91807.03027,104186.2734,112369.0359,121542.0211,133945.9268,147431.5308,166041.4536,180229.6618,191728.094,206199.7978,217266.8039
"NSFTV_188",32754.70394,44438.72836,51176.26313,68696.24595,76482.58528,89931.29426,106419.5282,128182.9557,141239.6783,159715.6473,179914.9401,204440.0359,231189.5211,257304.2601,293183.6975,330165.9536,370546.1618,404494.4273,444952.2978,486536.6372
"NSFTV_189",41945.37061,60747.39503,71731.92979,95150.74595,109144.7519,125833.1276,143182.5282,160050.4557,180025.0116,201812.7803,224279.4401,251530.8692,282231.6877,312459.0934,342962.3642,376013.1203,418158.3285,453257.4273,486697.9644,521926.4705
"NSFTV_19",52468.03728,69367.22836,82126.92979,102228.746,115025.5853,128002.6276,147105.3615,163857.789,179750.0116,195171.2803,215057.2734,237826.5359,266071.0211,293358.4268,322971.8642,356760.4536,389543.1618,421396.7606,460003.9644,495268.1372
"NSFTV_190",24708.84378,34183.10965,38861.81778,53323.8802,65679.56477,75471.60429,84304.05135,97947.20413,114621.3368,127566.7172,146044.8896,164217.3831,179894.0239,207281.7979,232491.3305,266768.7718,302505.5054,337805.5118,374232.1045,381915.7789
